      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1947e-royte-pomerantsen.psd:D d-di
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1798w-diskurs.psd:D de
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1478w-letter-regensburg.psd:D dem
     22 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1507w-bovo.psd:D dem
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1518w-goetz.psd:D dem
     11 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1534e-anshel.psd:D dem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1550e-rivke.psd:D dem
      7 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir-preface.psd:D dem
     11 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1579e-shir.psd#:D dem
     11 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd:D dem
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd:D dem
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1589e-ester-preface.psd:D dem
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1589e-ester.psd:D dem
      7 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1590e-sam-hayyim.psd:D dem
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1600e-magid-preface.psd:D dem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1600e-magid.psd:D dem
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1600e-tsenerene.psd:D dem
     12 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1-preface.psd:D dem
     24 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1.psd:D dem
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1624e-magen.psd:D dem
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1648w-kine.psd:D dem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1666w-messiah.psd:D dem
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1671e-vaad.psd:D dem
     10 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1675e-ashkenaz-un-polak.psd:D dem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1677w-witzenhausen.psd:D dem
      7 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1692e-vilna.psd:D dem
      5 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1697e-purim.psd:D dem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1704e-ellush.psd:D dem
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1705w-glikl.psd:D dem
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1712e-sarah.psd:D dem
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1717e-poznan.psd:D dem
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1723w-simkhes.psd:D dem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1740w-drises.psd:D dem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1743e-teshuat-preface.psd:D dem
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1750w-moses.psd:D dem
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1783e-ukraine-1.psd:D dem
     10 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1800e-nakhman.psd:D dem
     23 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1818e-geografie.psd:D dem
